COU,Domain,Measure,Scope,Year,Value
NAT,Terrestrial,Percent of total land/EEZ area,Country,1980,5.839318523
NAT,Terrestrial,Percent of total land/EEZ area,Country,1985,6.276984687
NAT,Terrestrial,Percent of total land/EEZ area,Country,1990,6.953396395
NAT,Terrestrial,Percent of total land/EEZ area,Country,1995,7.765571236
NAT,Terrestrial,Percent of total land/EEZ area,Country,2000,8.786272958
NAT,Terrestrial,Percent of total land/EEZ area,Country,2001,8.952132443
NAT,Terrestrial,Percent of total land/EEZ area,Country,2002,9.190016295
NAT,Terrestrial,Percent of total land/EEZ area,Country,2003,9.521091381
NAT,Terrestrial,Percent of total land/EEZ area,Country,2004,9.617088918
NAT,Terrestrial,Percent of total land/EEZ area,Country,2005,9.764194986
NAT,Terrestrial,Percent of total land/EEZ area,Country,2006,9.842596702
NAT,Terrestrial,Percent of total land/EEZ area,Country,2007,10.01700648
NAT,Terrestrial,Percent of total land/EEZ area,Country,2008,10.45648161
NAT,Terrestrial,Percent of total land/EEZ area,Country,2009,10.70226158
NAT,Terrestrial,Percent of total land/EEZ area,Country,2010,10.82314054
NAT,Terrestrial,Percent of total land/EEZ area,Country,2011,10.95555727
NAT,Terrestrial,Percent of total land/EEZ area,Country,2012,11.05375007
NAT,Terrestrial,Percent of total land/EEZ area,Country,2013,11.23014947
NAT,Terrestrial,Percent of total land/EEZ area,Country,2014,11.26872246
NAT,Terrestrial,Percent of total land/EEZ area,Country,2015,11.39685772
NAT,Terrestrial,Percent of total land/EEZ area,Country,2016,11.51165378
NAT,Terrestrial,Percent of total land/EEZ area,Country,2017,11.54659529
NAT,Terrestrial,Percent of total land/EEZ area,Country,2018,11.75648602
NAT,Terrestrial,Percent of total land/EEZ area,Country,2019,11.90253209
NAT,Terrestrial,Percent of total land/EEZ area,Country,2020,12.05271646
NAT,Terrestrial,Percent of total land/EEZ area,Country,2021,12.05271646
ASM,Terrestrial,Percent of total land/EEZ area,Country,1950,0
ASM,Terrestrial,Percent of total land/EEZ area,Country,1960,0
ASM,Terrestrial,Percent of total land/EEZ area,Country,1970,0
ASM,Terrestrial,Percent of total land/EEZ area,Country,1980,0
ASM,Terrestrial,Percent of total land/EEZ area,Country,1985,0
ASM,Terrestrial,Percent of total land/EEZ area,Country,1990,15.83445794
ASM,Terrestrial,Percent of total land/EEZ area,Country,1995,15.83445794
ASM,Terrestrial,Percent of total land/EEZ area,Country,2000,15.83445794
ASM,Terrestrial,Percent of total land/EEZ area,Country,2001,15.83445794
ASM,Terrestrial,Percent of total land/EEZ area,Country,2002,15.83445794
ASM,Terrestrial,Percent of total land/EEZ area,Country,2003,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2004,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2005,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2006,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2007,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2008,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2009,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2010,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2011,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2012,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2013,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2014,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2015,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2016,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2017,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2018,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2019,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2020,15.8794422
ASM,Terrestrial,Percent of total land/EEZ area,Country,2021,15.8794422
AIA,Terrestrial,Percent of total land/EEZ area,Country,1950,0
AIA,Terrestrial,Percent of total land/EEZ area,Country,1960,0
AIA,Terrestrial,Percent of total land/EEZ area,Country,1970,0
AIA,Terrestrial,Percent of total land/EEZ area,Country,1980,0
AIA,Terrestrial,Percent of total land/EEZ area,Country,1985,0
AIA,Terrestrial,Percent of total land/EEZ area,Country,1990,0
AIA,Terrestrial,Percent of total land/EEZ area,Country,1995,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2000,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2001,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2002,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2003,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2004,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2005,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2006,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2007,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2008,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2009,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2010,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2011,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2012,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2013,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2014,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2015,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2016,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2017,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2018,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2019,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2020,0.4550625711
AIA,Terrestrial,Percent of total land/EEZ area,Country,2021,0.4550625711
ARG,Terrestrial,Percent of total land/EEZ area,Country,1950,0.8748811583
ARG,Terrestrial,Percent of total land/EEZ area,Country,1960,0.9461614968
ARG,Terrestrial,Percent of total land/EEZ area,Country,1970,1.044821023
ARG,Terrestrial,Percent of total land/EEZ area,Country,1980,2.500464062
ARG,Terrestrial,Percent of total land/EEZ area,Country,1985,3.550128021
ARG,Terrestrial,Percent of total land/EEZ area,Country,1990,4.312190121
ARG,Terrestrial,Percent of total land/EEZ area,Country,1995,5.238543131
ARG,Terrestrial,Percent of total land/EEZ area,Country,2000,6.406497465
ARG,Terrestrial,Percent of total land/EEZ area,Country,2001,6.62660864
ARG,Terrestrial,Percent of total land/EEZ area,Country,2002,6.729783096
ARG,Terrestrial,Percent of total land/EEZ area,Country,2003,7.00741127
ARG,Terrestrial,Percent of total land/EEZ area,Country,2004,7.267569347
ARG,Terrestrial,Percent of total land/EEZ area,Country,2005,7.427974065
ARG,Terrestrial,Percent of total land/EEZ area,Country,2006,7.540297525
ARG,Terrestrial,Percent of total land/EEZ area,Country,2007,7.54505505
ARG,Terrestrial,Percent of total land/EEZ area,Country,2008,7.581845933
ARG,Terrestrial,Percent of total land/EEZ area,Country,2009,7.987563038
ARG,Terrestrial,Percent of total land/EEZ area,Country,2010,7.99722343
ARG,Terrestrial,Percent of total land/EEZ area,Country,2011,8.065320961
ARG,Terrestrial,Percent of total land/EEZ area,Country,2012,8.092577415
ARG,Terrestrial,Percent of total land/EEZ area,Country,2013,8.102147372
ARG,Terrestrial,Percent of total land/EEZ area,Country,2014,8.150662503
ARG,Terrestrial,Percent of total land/EEZ area,Country,2015,8.331755296
ARG,Terrestrial,Percent of total land/EEZ area,Country,2016,8.354958325
ARG,Terrestrial,Percent of total land/EEZ area,Country,2017,8.401532334
ARG,Terrestrial,Percent of total land/EEZ area,Country,2018,8.460386119
ARG,Terrestrial,Percent of total land/EEZ area,Country,2019,8.465641036
ARG,Terrestrial,Percent of total land/EEZ area,Country,2020,8.465641036
ARG,Terrestrial,Percent of total land/EEZ area,Country,2021,8.465641036
ARM,Terrestrial,Percent of total land/EEZ area,Country,1950,0.0069799978
ARM,Terrestrial,Percent of total land/EEZ area,Country,1960,1.637264691
ARM,Terrestrial,Percent of total land/EEZ area,Country,1970,1.687642066
ARM,Terrestrial,Percent of total land/EEZ area,Country,1980,7.8118314
ARM,Terrestrial,Percent of total land/EEZ area,Country,1985,7.816080094
ARM,Terrestrial,Percent of total land/EEZ area,Country,1990,7.915013975
ARM,Terrestrial,Percent of total land/EEZ area,Country,1995,18.62384792
ARM,Terrestrial,Percent of total land/EEZ area,Country,2000,18.62384792
ARM,Terrestrial,Percent of total land/EEZ area,Country,2001,18.63568357
ARM,Terrestrial,Percent of total land/EEZ area,Country,2002,19.95126141
ARM,Terrestrial,Percent of total land/EEZ area,Country,2003,20.01226052
ARM,Terrestrial,Percent of total land/EEZ area,Country,2004,20.01226052
ARM,Terrestrial,Percent of total land/EEZ area,Country,2005,20.01226052
ARM,Terrestrial,Percent of total land/EEZ area,Country,2006,20.01226052
ARM,Terrestrial,Percent of total land/EEZ area,Country,2007,20.0180266
ARM,Terrestrial,Percent of total land/EEZ area,Country,2008,20.0180266
ARM,Terrestrial,Percent of total land/EEZ area,Country,2009,22.96874478
ARM,Terrestrial,Percent of total land/EEZ area,Country,2010,22.97390391
ARM,Terrestrial,Percent of total land/EEZ area,Country,2011,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2012,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2013,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2014,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2015,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2016,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2017,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2018,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2019,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2020,24.11164355
ARM,Terrestrial,Percent of total land/EEZ area,Country,2021,24.11164355
ABW,Terrestrial,Percent of total land/EEZ area,Country,1950,0.3978120338
ABW,Terrestrial,Percent of total land/EEZ area,Country,1960,0.3978120338
ABW,Terrestrial,Percent of total land/EEZ area,Country,1970,0.3978120338
ABW,Terrestrial,Percent of total land/EEZ area,Country,1980,0.3978120338
ABW,Terrestrial,Percent of total land/EEZ area,Country,1985,0.3978120338
ABW,Terrestrial,Percent of total land/EEZ area,Country,1990,0.3978120338
ABW,Terrestrial,Percent of total land/EEZ area,Country,1995,0.3978120338
ABW,Terrestrial,Percent of total land/EEZ area,Country,2000,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2001,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2002,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2003,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2004,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2005,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2006,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2007,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2008,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2009,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2010,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2011,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2012,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2013,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2014,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2015,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2016,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2017,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2018,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2019,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2020,19.94032819
ABW,Terrestrial,Percent of total land/EEZ area,Country,2021,19.94032819
AZE,Terrestrial,Percent of total land/EEZ area,Country,1950,0.3152333316
AZE,Terrestrial,Percent of total land/EEZ area,Country,1960,0.4811427399
AZE,Terrestrial,Percent of total land/EEZ area,Country,1970,2.041378603
AZE,Terrestrial,Percent of total land/EEZ area,Country,1980,2.216290002
AZE,Terrestrial,Percent of total land/EEZ area,Country,1985,2.315148222
AZE,Terrestrial,Percent of total land/EEZ area,Country,1990,2.396057019
AZE,Terrestrial,Percent of total land/EEZ area,Country,1995,2.708726148
AZE,Terrestrial,Percent of total land/EEZ area,Country,2000,2.712654289
AZE,Terrestrial,Percent of total land/EEZ area,Country,2001,3.31623622
AZE,Terrestrial,Percent of total land/EEZ area,Country,2002,3.31623622
AZE,Terrestrial,Percent of total land/EEZ area,Country,2003,4.067220438
AZE,Terrestrial,Percent of total land/EEZ area,Country,2004,4.401821688
AZE,Terrestrial,Percent of total land/EEZ area,Country,2005,4.420316686
AZE,Terrestrial,Percent of total land/EEZ area,Country,2006,4.976748799
AZE,Terrestrial,Percent of total land/EEZ area,Country,2007,4.976748799
AZE,Terrestrial,Percent of total land/EEZ area,Country,2008,5.11161498
AZE,Terrestrial,Percent of total land/EEZ area,Country,2009,5.521942063
AZE,Terrestrial,Percent of total land/EEZ area,Country,2010,5.521942063
AZE,Terrestrial,Percent of total land/EEZ area,Country,2011,5.532580779
AZE,Terrestrial,Percent of total land/EEZ area,Country,2012,5.532580779
AZE,Terrestrial,Percent of total land/EEZ area,Country,2013,5.532580779
AZE,Terrestrial,Percent of total land/EEZ area,Country,2014,5.532580779
AZE,Terrestrial,Percent of total land/EEZ area,Country,2015,5.532580779
AZE,Terrestrial,Percent of total land/EEZ area,Country,2016,5.532580779
AZE,Terrestrial,Percent of total land/EEZ area,Country,2017,5.532580779
AZE,Terrestrial,Percent of total land/EEZ area,Country,2018,5.835811457
AZE,Terrestrial,Percent of total land/EEZ area,Country,2019,5.879130125
AZE,Terrestrial,Percent of total land/EEZ area,Country,2020,5.879130125
AZE,Terrestrial,Percent of total land/EEZ area,Country,2021,5.879130125
BLR,Terrestrial,Percent of total land/EEZ area,Country,1950,3.308826724
BLR,Terrestrial,Percent of total land/EEZ area,Country,1960,4.256693656
BLR,Terrestrial,Percent of total land/EEZ area,Country,1970,5.077471045
BLR,Terrestrial,Percent of total land/EEZ area,Country,1980,6.133076895
BLR,Terrestrial,Percent of total land/EEZ area,Country,1985,6.202148349
BLR,Terrestrial,Percent of total land/EEZ area,Country,1990,6.506323393
BLR,Terrestrial,Percent of total land/EEZ area,Country,1995,7.062785421
BLR,Terrestrial,Percent of total land/EEZ area,Country,2000,7.16398403
BLR,Terrestrial,Percent of total land/EEZ area,Country,2001,7.950486338
BLR,Terrestrial,Percent of total land/EEZ area,Country,2002,8.027898496
BLR,Terrestrial,Percent of total land/EEZ area,Country,2003,8.027898496
BLR,Terrestrial,Percent of total land/EEZ area,Country,2004,8.028159143
BLR,Terrestrial,Percent of total land/EEZ area,Country,2005,8.05226899
BLR,Terrestrial,Percent of total land/EEZ area,Country,2006,8.05226899
BLR,Terrestrial,Percent of total land/EEZ area,Country,2007,8.05226899
BLR,Terrestrial,Percent of total land/EEZ area,Country,2008,8.05226899
BLR,Terrestrial,Percent of total land/EEZ area,Country,2009,8.052659961
BLR,Terrestrial,Percent of total land/EEZ area,Country,2010,8.463656831
BLR,Terrestrial,Percent of total land/EEZ area,Country,2011,8.463656831
BLR,Terrestrial,Percent of total land/EEZ area,Country,2012,8.681123308
BLR,Terrestrial,Percent of total land/EEZ area,Country,2013,9.180218862
BLR,Terrestrial,Percent of total land/EEZ area,Country,2014,9.581875882
BLR,Terrestrial,Percent of total land/EEZ area,Country,2015,9.732877375
BLR,Terrestrial,Percent of total land/EEZ area,Country,2016,9.739306667
BLR,Terrestrial,Percent of total land/EEZ area,Country,2017,9.739306667
BLR,Terrestrial,Percent of total land/EEZ area,Country,2018,9.739306667
BLR,Terrestrial,Percent of total land/EEZ area,Country,2019,9.739306667
BLR,Terrestrial,Percent of total land/EEZ area,Country,2020,9.739306667
BLR,Terrestrial,Percent of total land/EEZ area,Country,2021,9.739306667
BMU,Terrestrial,Percent of total land/EEZ area,Country,1950,0
BMU,Terrestrial,Percent of total land/EEZ area,Country,1960,0
BMU,Terrestrial,Percent of total land/EEZ area,Country,1970,0
BMU,Terrestrial,Percent of total land/EEZ area,Country,1980,0
BMU,Terrestrial,Percent of total land/EEZ area,Country,1985,0
BMU,Terrestrial,Percent of total land/EEZ area,Country,1990,0.1426533524
BMU,Terrestrial,Percent of total land/EEZ area,Country,1995,0.1426533524
BMU,Terrestrial,Percent of total land/EEZ area,Country,2000,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2001,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2002,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2003,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2004,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2005,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2006,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2007,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2008,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2009,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2010,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2011,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2012,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2013,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2014,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2015,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2016,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2017,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2018,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2019,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2020,0.2853067047
BMU,Terrestrial,Percent of total land/EEZ area,Country,2021,0.2853067047
BRA,Terrestrial,Percent of total land/EEZ area,Country,1950,0.0825843953
BRA,Terrestrial,Percent of total land/EEZ area,Country,1960,0.1566855614
BRA,Terrestrial,Percent of total land/EEZ area,Country,1970,0.2781290123
BRA,Terrestrial,Percent of total land/EEZ area,Country,1980,1.850689113
BRA,Terrestrial,Percent of total land/EEZ area,Country,1985,2.885308189
BRA,Terrestrial,Percent of total land/EEZ area,Country,1990,6.841044606
BRA,Terrestrial,Percent of total land/EEZ area,Country,1995,9.241877175
BRA,Terrestrial,Percent of total land/EEZ area,Country,2000,14.95651963
BRA,Terrestrial,Percent of total land/EEZ area,Country,2001,16.23617195
BRA,Terrestrial,Percent of total land/EEZ area,Country,2002,18.7937736
BRA,Terrestrial,Percent of total land/EEZ area,Country,2003,19.37581256
BRA,Terrestrial,Percent of total land/EEZ area,Country,2004,20.53424035
BRA,Terrestrial,Percent of total land/EEZ area,Country,2005,21.79306282
BRA,Terrestrial,Percent of total land/EEZ area,Country,2006,26.0755809
BRA,Terrestrial,Percent of total land/EEZ area,Country,2007,26.66560739
BRA,Terrestrial,Percent of total land/EEZ area,Country,2008,27.80838061
BRA,Terrestrial,Percent of total land/EEZ area,Country,2009,29.53300936
BRA,Terrestrial,Percent of total land/EEZ area,Country,2010,29.800919
BRA,Terrestrial,Percent of total land/EEZ area,Country,2011,29.84408035
BRA,Terrestrial,Percent of total land/EEZ area,Country,2012,29.8533725
BRA,Terrestrial,Percent of total land/EEZ area,Country,2013,29.93666601
BRA,Terrestrial,Percent of total land/EEZ area,Country,2014,30.03894958
BRA,Terrestrial,Percent of total land/EEZ area,Country,2015,30.05494348
BRA,Terrestrial,Percent of total land/EEZ area,Country,2016,30.37993114
BRA,Terrestrial,Percent of total land/EEZ area,Country,2017,30.38587516
BRA,Terrestrial,Percent of total land/EEZ area,Country,2018,30.73220606
BRA,Terrestrial,Percent of total land/EEZ area,Country,2019,30.7329618
BRA,Terrestrial,Percent of total land/EEZ area,Country,2020,30.7329618
BRA,Terrestrial,Percent of total land/EEZ area,Country,2021,30.7329618
VGB,Terrestrial,Percent of total land/EEZ area,Country,1950,0
VGB,Terrestrial,Percent of total land/EEZ area,Country,1960,0
VGB,Terrestrial,Percent of total land/EEZ area,Country,1970,0.3474232774
VGB,Terrestrial,Percent of total land/EEZ area,Country,1980,1.27388535
VGB,Terrestrial,Percent of total land/EEZ area,Country,1985,1.27388535
VGB,Terrestrial,Percent of total land/EEZ area,Country,1990,1.679212507
VGB,Terrestrial,Percent of total land/EEZ area,Country,1995,1.679212507
VGB,Terrestrial,Percent of total land/EEZ area,Country,2000,9.843659525
VGB,Terrestrial,Percent of total land/EEZ area,Country,2001,9.843659525
VGB,Terrestrial,Percent of total land/EEZ area,Country,2002,9.843659525
VGB,Terrestrial,Percent of total land/EEZ area,Country,2003,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2004,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2005,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2006,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2007,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2008,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2009,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2010,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2011,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2012,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2013,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2014,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2015,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2016,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2017,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2018,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2019,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2020,9.959467284
VGB,Terrestrial,Percent of total land/EEZ area,Country,2021,9.959467284
BGR,Terrestrial,Percent of total land/EEZ area,Country,1950,0.7049140315
BGR,Terrestrial,Percent of total land/EEZ area,Country,1960,0.8275183179
BGR,Terrestrial,Percent of total land/EEZ area,Country,1970,1.42631539
BGR,Terrestrial,Percent of total land/EEZ area,Country,1980,1.816353812
BGR,Terrestrial,Percent of total land/EEZ area,Country,1985,1.996987022
BGR,Terrestrial,Percent of total land/EEZ area,Country,1990,2.34314006
BGR,Terrestrial,Percent of total land/EEZ area,Country,1995,4.654113669
BGR,Terrestrial,Percent of total land/EEZ area,Country,2000,4.866176968
BGR,Terrestrial,Percent of total land/EEZ area,Country,2001,4.970435063
BGR,Terrestrial,Percent of total land/EEZ area,Country,2002,14.97867334
BGR,Terrestrial,Percent of total land/EEZ area,Country,2003,14.99354426
BGR,Terrestrial,Percent of total land/EEZ area,Country,2004,15.0017071
BGR,Terrestrial,Percent of total land/EEZ area,Country,2005,15.01690131
BGR,Terrestrial,Percent of total land/EEZ area,Country,2006,15.02999418
BGR,Terrestrial,Percent of total land/EEZ area,Country,2007,29.47814558
BGR,Terrestrial,Percent of total land/EEZ area,Country,2008,40.61250598
BGR,Terrestrial,Percent of total land/EEZ area,Country,2009,40.67166639
BGR,Terrestrial,Percent of total land/EEZ area,Country,2010,40.67174721
BGR,Terrestrial,Percent of total land/EEZ area,Country,2011,40.70464104
BGR,Terrestrial,Percent of total land/EEZ area,Country,2012,40.83144798
BGR,Terrestrial,Percent of total land/EEZ area,Country,2013,40.86733216
BGR,Terrestrial,Percent of total land/EEZ area,Country,2014,40.86733216
BGR,Terrestrial,Percent of total land/EEZ area,Country,2015,40.87056497
BGR,Terrestrial,Percent of total land/EEZ area,Country,2016,40.87056497
BGR,Terrestrial,Percent of total land/EEZ area,Country,2017,40.87080743
BGR,Terrestrial,Percent of total land/EEZ area,Country,2018,40.89343709
BGR,Terrestrial,Percent of total land/EEZ area,Country,2019,41.01563728
BGR,Terrestrial,Percent of total land/EEZ area,Country,2020,41.01563728
BGR,Terrestrial,Percent of total land/EEZ area,Country,2021,41.01563728
CYM,Terrestrial,Percent of total land/EEZ area,Country,1950,0
CYM,Terrestrial,Percent of total land/EEZ area,Country,1960,0
CYM,Terrestrial,Percent of total land/EEZ area,Country,1970,0
CYM,Terrestrial,Percent of total land/EEZ area,Country,1980,0.5978080372
CYM,Terrestrial,Percent of total land/EEZ area,Country,1985,0.5978080372
CYM,Terrestrial,Percent of total land/EEZ area,Country,1990,4.483560279
CYM,Terrestrial,Percent of total land/EEZ area,Country,1995,6.443042179
CYM,Terrestrial,Percent of total land/EEZ area,Country,2000,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2001,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2002,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2003,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2004,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2005,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2006,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2007,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2008,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2009,7.372965792
CYM,Terrestrial,Percent of total land/EEZ area,Country,2010,7.738292926
CYM,Terrestrial,Percent of total land/EEZ area,Country,2011,7.738292926
CYM,Terrestrial,Percent of total land/EEZ area,Country,2012,7.738292926
CYM,Terrestrial,Percent of total land/EEZ area,Country,2013,7.871139156
CYM,Terrestrial,Percent of total land/EEZ area,Country,2014,7.871139156
CYM,Terrestrial,Percent of total land/EEZ area,Country,2015,7.871139156
CYM,Terrestrial,Percent of total land/EEZ area,Country,2016,7.871139156
CYM,Terrestrial,Percent of total land/EEZ area,Country,2017,7.871139156
CYM,Terrestrial,Percent of total land/EEZ area,Country,2018,7.871139156
CYM,Terrestrial,Percent of total land/EEZ area,Country,2019,7.871139156
CYM,Terrestrial,Percent of total land/EEZ area,Country,2020,7.871139156
CYM,Terrestrial,Percent of total land/EEZ area,Country,2021,7.871139156
CHL,Terrestrial,Percent of total land/EEZ area,Country,1950,2.259974778
CHL,Terrestrial,Percent of total land/EEZ area,Country,1960,4.77926356
CHL,Terrestrial,Percent of total land/EEZ area,Country,1970,11.71481922
CHL,Terrestrial,Percent of total land/EEZ area,Country,1980,11.99689429
CHL,Terrestrial,Percent of total land/EEZ area,Country,1985,13.84297296
CHL,Terrestrial,Percent of total land/EEZ area,Country,1990,14.32463958
CHL,Terrestrial,Percent of total land/EEZ area,Country,1995,14.85033794
CHL,Terrestrial,Percent of total land/EEZ area,Country,2000,15.10140121
CHL,Terrestrial,Percent of total land/EEZ area,Country,2001,15.10140121
CHL,Terrestrial,Percent of total land/EEZ area,Country,2002,15.10140121
CHL,Terrestrial,Percent of total land/EEZ area,Country,2003,15.10266505
CHL,Terrestrial,Percent of total land/EEZ area,Country,2004,15.13060071
CHL,Terrestrial,Percent of total land/EEZ area,Country,2005,16.04828065
CHL,Terrestrial,Percent of total land/EEZ area,Country,2006,16.05389639
